rank,full_name,team,injury_status,position,age,points,avg_adp,trend,KeepTradeCut,90D Peak
608,Deonte Harty,BAL,,WR,27,0,0,0,0,
609,Davis Mills,HOU,,QB,26,9.58,0,-55400,0,
610,Derek Carr,,Out,QB,34,155.9,0,-218300,0,
611,Devin Duvernay,CHI,,WR,27,13.7,0,-70200,0,
612,D'Onta Foreman,,,RB,28,29.6,0,-61600,0,
613,Drew Ogletree,IND,,TE,26,21.4,0,0,0,
614,Drew Sample,CIN,,TE,29,27.5,0,-48400,0,
615,Gus Edwards,,,RB,29,62.6,102,-69700,0,
616,Hunter Long,JAX,,TE,26,15.5,0,0,0,
617,Isaiah Spiller,,,RB,23,0,0,-85400,0,
618,Jake Haener,NO,Questionable,QB,26,14.24,0,-53800,0,
619,Jarrett Stidham,DEN,,QB,28,0.5,0,-60100,0,
620,Lan Larison,NE,,RB,,0,104,0,0,
621,Jordan Travis,,NA,QB,24,0,65,-108500,0,
622,Durham Smythe,MIA,,TE,29,9.8,0,0,0,
623,Evan Hull,PIT,,RB,24,0,0,0,0,
624,Nelson Agholor,,,WR,31,42.1,0,0,0,
625,Kurtis Rourke,SF,Questionable,QB,24,0,0,0,0,
626,Marcus Mariota,WAS,,QB,31,45.76,55,-80100,0,
627,Peyton Hendershot,,,TE,25,7.6,0,-64400,0,
628,Mitchell Trubisky,BUF,,QB,30,15.26,63,0,0,
629,Raheem Blackshear,CAR,,RB,26,8,0,-52200,0,
630,Sterling Shepard,TB,,WR,32,64.3,192,-71000,0,
631,Ian Thomas,CAR,,TE,28,2.2,0,0,0,
632,Tip Reiman,ARI,,TE,23,6.7,0,-52000,0,
633,Trey Quinn,,,WR,27,0,0,0,0,
634,Stetson Bennett,LA,,QB,27,0,0,0,0,
635,Ihmir Smith-Marsette,NYG,,WR,25,6,0,0,0,
636,Isaiah McKenzie,,,WR,29,0,173,0,0,
637,Tommy DeVito,NYG,,QB,26,13.48,0,-67600,0,
638,Jaelon Darden,SEA,,WR,26,1.1,0,0,0,
639,James Mitchell,CAR,,TE,25,0,0,0,0,
640,JaMycal Hasty,NE,,RB,28,23.8,0,0,0,
641,Kadarius Toney,,,WR,25,-2.4,0,0,0,
642,Jawhar Jordan,HOU,,RB,25,0,0,0,0,
643,Jeff Wilson,MIA,,RB,29,9.1,0,0,0,
644,John Bates,WAS,,TE,27,10.4,75,0,0,
645,Joshua Kelley,TEN,,RB,27,0.2,0,0,0,
646,Laviska Shenault,,,WR,26,8.2,0,0,0,
647,Malik Cunningham,BAL,,QB,26,0,0,0,0,
